eps_eV,k_iz_m3_per_s,K_eV_m3_per_s
7.300000000000000000e+01,2.149999999999999926e-13,3.598899999999999942e-12
7.400000000000000000e+01,2.167999999999999951e-13,3.626000000000000100e-12
7.500000000000000000e+01,2.182999999999999887e-13,3.644999999999999918e-12
7.600000000000000000e+01,2.199999999999999966e-13,3.670800000000000070e-12
7.700000000000000000e+01,2.219999999999999881e-13,3.695999999999999599e-12
7.800000000000000000e+01,2.232999999999999926e-13,3.712800000000000093e-12
7.900000000000000000e+01,2.253000000000000093e-13,3.744600000000000018e-12
8.000000000000000000e+01,2.260999999999999908e-13,3.752000000000000168e-12
8.100000000000000000e+01,2.284999999999999856e-13,3.790800000000000367e-12
8.200000000000000000e+01,2.300999999999999990e-13,3.804800000000000105e-12
8.300000000000000000e+01,2.317000000000000124e-13,3.826300000000000367e-12
8.400000000000000000e+01,2.327999999999999774e-13,3.847200000000000005e-12
8.500000000000000000e+01,2.346999999999999996e-13,3.867499999999999828e-12
8.600000000000000000e+01,2.361999999999999932e-13,3.887199999999999835e-12
8.700000000000000000e+01,2.376999999999999868e-13,3.906300000000000026e-12
8.800000000000000000e+01,2.391000000000000111e-13,3.933600000000000122e-12
8.900000000000000000e+01,2.404999999999999850e-13,3.951600000000000247e-12
9.000000000000000000e+01,2.414000000000000114e-13,3.960000000000000090e-12
9.100000000000000000e+01,2.432999999999999831e-13,3.985800000000000243e-12
9.200000000000000000e+01,2.447000000000000075e-13,4.002000000000000113e-12
9.300000000000000000e+01,2.460000000000000120e-13,4.017600000000000168e-12
9.400000000000000000e+01,2.473999999999999859e-13,4.032599999999999599e-12
9.500000000000000000e+01,2.486999999999999904e-13,4.056499999999999931e-12
9.600000000000000000e+01,2.494999999999999971e-13,4.070400000000000104e-12
9.700000000000000000e+01,2.512999999999999995e-13,4.083699999999999654e-12
9.800000000000000000e+01,2.524999999999999843e-13,4.106199999999999608e-12
9.900000000000000000e+01,2.537000000000000196e-13,4.118399999999999900e-12
1.000000000000000000e+02,2.539000000000000086e-13,4.120000000000000216e-12
1.010000000000000000e+02,2.562000000000000089e-13,4.151099999999999952e-12
1.020000000000000000e+02,2.573000000000000245e-13,4.171799999999999652e-12
1.030000000000000000e+02,2.585999999999999785e-13,4.181799999999999811e-12
1.040000000000000000e+02,2.596999999999999940e-13,4.201600000000000191e-12
1.050000000000000000e+02,2.608000000000000095e-13,4.210500000000000285e-12
1.060000000000000000e+02,2.619999999999999943e-13,4.229399999999999730e-12
1.070000000000000000e+02,2.631000000000000098e-13,4.237199999999999757e-12
1.080000000000000000e+02,2.641999999999999749e-13,4.244399999999999969e-12
1.090000000000000000e+02,2.652999999999999904e-13,4.272800000000000130e-12
1.100000000000000000e+02,2.664000000000000059e-13,4.278999999999999841e-12
1.110000000000000000e+02,2.674000000000000016e-13,4.295699999999999962e-12
1.120000000000000000e+02,2.685000000000000171e-13,4.300799999999999607e-12
1.130000000000000000e+02,2.695000000000000129e-13,4.316599999999999600e-12
1.140000000000000000e+02,2.703999999999999888e-13,4.331999999999999717e-12
1.150000000000000000e+02,2.715000000000000043e-13,4.346999999999999956e-12
1.160000000000000000e+02,2.725000000000000001e-13,4.361600000000000317e-12
1.170000000000000000e+02,2.734999999999999958e-13,4.375799999999999994e-12
1.180000000000000000e+02,2.744999999999999916e-13,4.377800000000000188e-12
1.190000000000000000e+02,2.754000000000000180e-13,4.402999999999999717e-12
1.200000000000000000e+02,2.741000000000000134e-13,4.380000000000000320e-12
1.210000000000000000e+02,2.772999999999999897e-13,4.416500000000000013e-12
1.220000000000000000e+02,2.782000000000000162e-13,4.428599999999999931e-12
1.230000000000000000e+02,2.790999999999999921e-13,4.440299999999999972e-12
1.240000000000000000e+02,2.800000000000000186e-13,4.451600000000000136e-12
1.250000000000000000e+02,2.807000000000000055e-13,4.462499999999999615e-12
1.260000000000000000e+02,2.817000000000000013e-13,4.473000000000000025e-12
1.270000000000000000e+02,2.826999999999999970e-13,4.483099999999999749e-12
1.280000000000000000e+02,2.835000000000000037e-13,4.492799999999999597e-12
1.290000000000000000e+02,2.843999999999999797e-13,4.502100000000000375e-12
1.300000000000000000e+02,2.846999999999999885e-13,4.510999999999999661e-12
1.310000000000000000e+02,2.859999999999999930e-13,4.532600000000000296e-12
1.320000000000000000e+02,2.861999999999999821e-13,4.527600000000000216e-12
1.330000000000000000e+02,2.876000000000000064e-13,4.548600000000000227e-12
1.340000000000000000e+02,2.884000000000000131e-13,4.556000000000000378e-12
1.350000000000000000e+02,2.892000000000000198e-13,4.562999999999999843e-12
1.360000000000000000e+02,2.899999999999999760e-13,4.569600000000000239e-12
1.370000000000000000e+02,2.907999999999999827e-13,4.575799999999999950e-12
1.380000000000000000e+02,2.914000000000000003e-13,4.581599999999999784e-12
1.390000000000000000e+02,2.922999999999999763e-13,4.600899999999999914e-12
1.400000000000000000e+02,2.925000000000000158e-13,4.606000000000000367e-12
1.410000000000000000e+02,2.938000000000000204e-13,4.610700000000000135e-12
1.420000000000000000e+02,2.945000000000000073e-13,4.615000000000000025e-12
1.430000000000000000e+02,2.951999999999999942e-13,4.633200000000000089e-12
1.440000000000000000e+02,2.951999999999999942e-13,4.636799999999999791e-12
1.450000000000000000e+02,2.966000000000000186e-13,4.639999999999999616e-12
1.460000000000000000e+02,2.973000000000000055e-13,4.657399999999999925e-12
1.470000000000000000e+02,2.979999999999999924e-13,4.659900000000000369e-12
1.480000000000000000e+02,2.986000000000000100e-13,4.676799999999999621e-12
1.490000000000000000e+02,2.992999999999999969e-13,4.678599999999999875e-12
1.500000000000000000e+02,2.983000000000000012e-13,4.665000000000000014e-12
